target_id,target,generated_by,summary,summary_postprocessed,CA_1,Conciseness_1,Fluency_1,CA_2,Conciseness_2,Fluency_2,CA_3,Conciseness_3,Fluency_3,,Extreme CA Difference,Extreme Conciseness Difference,Extreme Fluency Difference
6367670b1a6d9265ec017a0f,"public static boolean containsAnyIgnoreCase(String str,List<String> searchStrArray){
  if (StringUtils.isEmpty(str) || searchStrArray == null || searchStrArray.isEmpty()) {
    return false;
  }
  for (  String item : searchStrArray) {
    if (containsIgnoreCase(str,item)) {
      return true;
    }
  }
  return false;
}
",CodeLlama-7b-Instruct-hf,"```
/**
 * Checks if the given string contains any of the search strings in the list, ignoring case.
 *
 * @param str the string to check
 * @param searchStrArray the list of search strings
 * @return true if the string contains any of the search strings, false otherwise
 */
```
This docstring provides a brief description of the method's purpose and its parameters. It also includes a brief explanation of what the method does and what it returns. Additionally, it includes a note about the method's preconditions, which are that the string and the search string array are not null or empty.","/**
 * Checks if the given string contains any of the search strings in the list, ignoring case.
 *
 * @param str the string to check
 * @param searchStrArray the list of search strings
 * @return true if the string contains any of the search strings, false otherwise
 */",5,5,5,4,5,5,3,5,5,,,,
6367670b1a6d9265ec017a0f,"public static boolean containsAnyIgnoreCase(String str,List<String> searchStrArray){
  if (StringUtils.isEmpty(str) || searchStrArray == null || searchStrArray.isEmpty()) {
    return false;
  }
  for (  String item : searchStrArray) {
    if (containsIgnoreCase(str,item)) {
      return true;
    }
  }
  return false;
}
",CodeLlama-13b-Instruct-hf,"```
/**
 * Checks if a string contains any of the substrings in a list, ignoring case.
 *
 * @param str the string to check
 * @param searchStrArray the list of substrings to search for
 * @return true if the string contains any of the substrings in the list, false otherwise
 */
```","/**
 * Checks if a string contains any of the substrings in a list, ignoring case.
 *
 * @param str the string to check
 * @param searchStrArray the list of substrings to search for
 * @return true if the string contains any of the substrings in the list, false otherwise
 */",5,5,5,4,5,5,3,5,5,,,,
6367670b1a6d9265ec017a0f,"public static boolean containsAnyIgnoreCase(String str,List<String> searchStrArray){
  if (StringUtils.isEmpty(str) || searchStrArray == null || searchStrArray.isEmpty()) {
    return false;
  }
  for (  String item : searchStrArray) {
    if (containsIgnoreCase(str,item)) {
      return true;
    }
  }
  return false;
}
",gpt-3.5-turbo,"```java
/**
 * Checks if the given string contains any of the search strings in a case-insensitive manner.
 * 
 * @param str the string to search within
 * @param searchStrArray the list of search strings to check for
 * @return true if the string contains any of the search strings (ignoring case), false otherwise
 */
```
","/**
 * Checks if the given string contains any of the search strings in a case-insensitive manner.
 * 
 * @param str the string to search within
 * @param searchStrArray the list of search strings to check for
 * @return true if the string contains any of the search strings (ignoring case), false otherwise
 */",5,5,5,4,5,5,3,5,5,,,,
6367670b1a6d9265ec017a0f,"public static boolean containsAnyIgnoreCase(String str,List<String> searchStrArray){
  if (StringUtils.isEmpty(str) || searchStrArray == null || searchStrArray.isEmpty()) {
    return false;
  }
  for (  String item : searchStrArray) {
    if (containsIgnoreCase(str,item)) {
      return true;
    }
  }
  return false;
}
",gpt-4-turbo,"```java
/**
 * Checks if the provided string contains any of the strings from the given list, ignoring case sensitivity.
 *
 * @param str The string to search within.
 * @param searchStrArray A list of strings to search for within the main string.
 * @return true if any of the strings from the list are found in the main string, ignoring case; false otherwise.
 *         Returns false if the main string is null, empty, or if the list is null or empty.
 */
```","/**
 * Checks if the provided string contains any of the strings from the given list, ignoring case sensitivity.
 *
 * @param str The string to search within.
 * @param searchStrArray A list of strings to search for within the main string.
 * @return true if any of the strings from the list are found in the main string, ignoring case; false otherwise.
 *         Returns false if the main string is null, empty, or if the list is null or empty.
 */",5,5,5,5,5,5,5,5,5,,,,
6367670b1a6d9265ec017a0f,"public static boolean containsAnyIgnoreCase(String str,List<String> searchStrArray){
  if (StringUtils.isEmpty(str) || searchStrArray == null || searchStrArray.isEmpty()) {
    return false;
  }
  for (  String item : searchStrArray) {
    if (containsIgnoreCase(str,item)) {
      return true;
    }
  }
  return false;
}
",CodeLlama-34b-Instruct-hf,"```
# Docstring for containsAnyIgnoreCase

This method checks if a given string contains any of the strings in a given array, ignoring case.

Parameters:

* str: The string to search in.
* searchStrArray: The array of strings to search for.

Returns:

* true if the string contains any of the strings in the array, ignoring case.
* false otherwise.

Note: This method uses the containsIgnoreCase method to check for case-insensitive matches.
```","This method checks if a given string contains any of the strings in a given array, ignoring case.

Parameters:

* str: The string to search in.
* searchStrArray: The array of strings to search for.

Returns:

* true if the string contains any of the strings in the array, ignoring case.
* false otherwise.

Note: This method uses the containsIgnoreCase method to check for case-insensitive matches.",5,4,5,4,4,5,4,5,5,,,,
6367670b1a6d9265ec017a0f,"public static boolean containsAnyIgnoreCase(String str,List<String> searchStrArray){
  if (StringUtils.isEmpty(str) || searchStrArray == null || searchStrArray.isEmpty()) {
    return false;
  }
  for (  String item : searchStrArray) {
    if (containsIgnoreCase(str,item)) {
      return true;
    }
  }
  return false;
}
",human_written,"/** 
 * Case in-sensitive Checks if the String contains any character in the given set of string. 
 */
","/** 
 * Case in-sensitive Checks if the String contains any character in the given set of string. 
 */",2,5,2,2,5,2,3,5,2,,,,
636766aa1a6d9265ec0175ce,"int visitFrameStart(final int offset,final int numLocal,final int numStack){
  int frameLength=3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame=new int[frameLength];
  }
  currentFrame[0]=offset;
  currentFrame[1]=numLocal;
  currentFrame[2]=numStack;
  return 3;
}
",CodeLlama-34b-Instruct-hf,"# Docstring for visitFrameStart method

This method initializes the current frame with the given offset, number of local variables, and number of stack variables. It returns the length of the frame.

The method first calculates the length of the frame by adding 3 to the number of local and stack variables. It then checks if the current frame is null or if its length is less than the calculated frame length. If either of these conditions is true, it creates a new frame with the calculated length.

The method then sets the first three elements of the frame to the offset, number of local variables, and number of stack variables, respectively. Finally, it returns the length of the frame.

Parameters:

* offset: The offset of the frame.
* numLocal: The number of local variables in the frame.
* numStack: The number of stack variables in the frame.

Returns: The length of the frame.","This method initializes the current frame with the given offset, number of local variables, and number of stack variables. It returns the length of the frame.

The method first calculates the length of the frame by adding 3 to the number of local and stack variables. It then checks if the current frame is null or if its length is less than the calculated frame length. If either of these conditions is true, it creates a new frame with the calculated length.

The method then sets the first three elements of the frame to the offset, number of local variables, and number of stack variables, respectively. Finally, it returns the length of the frame.

Parameters:

* offset: The offset of the frame.
* numLocal: The number of local variables in the frame.
* numStack: The number of stack variables in the frame.

Returns: The length of the frame.",2,5,4,2,5,5,2,5,5,,,,
636766aa1a6d9265ec0175ce,"int visitFrameStart(final int offset,final int numLocal,final int numStack){
  int frameLength=3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame=new int[frameLength];
  }
  currentFrame[0]=offset;
  currentFrame[1]=numLocal;
  currentFrame[2]=numStack;
  return 3;
}
",CodeLlama-7b-Instruct-hf,"```
int visitFrameStart(final int offset, final int numLocal, final int numStack)

Starts a new frame in the current method.

Parameters:

* offset: The offset of the frame in the method's code.
* numLocal: The number of local variables in the frame.
* numStack: The number of stack slots in the frame.

Returns:

* The length of the frame in bytes.

Throws:

* IllegalStateException: If the current frame is not null and its length is less than the required length.

This method is called by the JVM when it encounters a frame instruction in the method's code. It creates a new frame in the current method and sets its offset, number of local variables, and number of stack slots. The method also checks if the current frame is null or its length is less than the required length, and throws an IllegalStateException if that is the case.

The method returns the length of the frame in bytes, which is used by the JVM to determine the size of the frame in memory.
```","int visitFrameStart(final int offset, final int numLocal, final int numStack)

Starts a new frame in the current method.

Parameters:

* offset: The offset of the frame in the method's code.
* numLocal: The number of local variables in the frame.
* numStack: The number of stack slots in the frame.

Returns:

* The length of the frame in bytes.

Throws:

* IllegalStateException: If the current frame is not null and its length is less than the required length.

This method is called by the JVM when it encounters a frame instruction in the method's code. It creates a new frame in the current method and sets its offset, number of local variables, and number of stack slots. The method also checks if the current frame is null or its length is less than the required length, and throws an IllegalStateException if that is the case.

The method returns the length of the frame in bytes, which is used by the JVM to determine the size of the frame in memory.",2,4,4,2,4,4,2,4,5,,,,
636766aa1a6d9265ec0175ce,"int visitFrameStart(final int offset,final int numLocal,final int numStack){
  int frameLength=3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame=new int[frameLength];
  }
  currentFrame[0]=offset;
  currentFrame[1]=numLocal;
  currentFrame[2]=numStack;
  return 3;
}
",CodeLlama-13b-Instruct-hf,"```
/**
 * Visits the start of a frame in the bytecode.
 *
 * @param offset the offset of the frame in the bytecode
 * @param numLocal the number of local variables in the frame
 * @param numStack the number of stack elements in the frame
 * @return the length of the frame
 */
int visitFrameStart(final int offset, final int numLocal, final int numStack) {
    int frameLength = 3 + numLocal + numStack;
    if (currentFrame == null || currentFrame.length < frameLength) {
        currentFrame = new int[frameLength];
    }
    currentFrame[0] = offset;
    currentFrame[1] = numLocal;
    currentFrame[2] = numStack;
    return 3;
}
```
This docstring provides a brief description of the method, including its purpose and the parameters it takes. It also includes the return type and value of the method.","/**
 * Visits the start of a frame in the bytecode.
 *
 * @param offset the offset of the frame in the bytecode
 * @param numLocal the number of local variables in the frame
 * @param numStack the number of stack elements in the frame
 * @return the length of the frame
 */",2,5,3,2,5,4,2,5,4,,,,
636766aa1a6d9265ec0175ce,"int visitFrameStart(final int offset,final int numLocal,final int numStack){
  int frameLength=3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame=new int[frameLength];
  }
  currentFrame[0]=offset;
  currentFrame[1]=numLocal;
  currentFrame[2]=numStack;
  return 3;
}
",human_written,"/** 
 * Starts the visit of a new stack map frame, stored in  {@link #currentFrame}.
 * @param offset   the bytecode offset of the instruction to which the frame corresponds.
 * @param numLocal the number of local variables in the frame.
 * @param numStack the number of stack elements in the frame.
 * @return the index of the next element to be written in this frame.
 */
","/** 
 * Starts the visit of a new stack map frame, stored in  {@link #currentFrame}.
 * @param offset   the bytecode offset of the instruction to which the frame corresponds.
 * @param numLocal the number of local variables in the frame.
 * @param numStack the number of stack elements in the frame.
 * @return the index of the next element to be written in this frame.
 */",2,5,3,3,5,3,4,5,5,,,,
